Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR28515580_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 8.168099487451757e-05)	(15, 0.00044610389508390364)	(20, 0.0011875160024064479)	(25, 0.002261935242678948)	(30, 0.0033866197105665357)	(35, 0.004768913469981449)	(40, 0.006214038763915222)	(45, 0.007778543973434826)	(50, 0.00960065847448176)	(55, 0.011359941441009828)	(60, 0.013006127645403954)	(65, 0.014752844305028249)	(70, 0.016945664859736455)	(75, 0.019289281097289918)	(80, 0.02120564290011514)	(85, 0.023549259137668605)	(90, 0.0260122552908079)	(95, 0.028707728121666987)	(100, 0.03193098584248448)	(105, 0.03575742629468304)	(110, 0.04173270522742659)	(115, 0.048461962574396465)	(120, 0.05748457093130471)	(125, 0.07017654090411436)	(130, 0.08489796944188319)	(135, 0.10436317883582591)	(140, 0.11916000521501736)																																						
SRR28515580_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 8.168099487451757e-05)	(15, 0.00047751966234333353)	(20, 0.0013508779921554829)	(25, 0.002670340217051536)	(30, 0.004291393807638115)	(35, 0.00655961220376895)	(40, 0.00877128221883281)	(45, 0.0113725077479136)	(50, 0.014256475182329259)	(55, 0.01724725622542698)	(60, 0.020194055194361498)	(65, 0.023517843370409176)	(70, 0.02751392896580865)	(75, 0.03137806833871852)	(80, 0.035059996261523695)	(85, 0.039150329158701466)	(90, 0.04327836097659054)	(95, 0.047393826487575855)	(100, 0.05199937796780826)	(105, 0.05739660678297831)	(110, 0.06447772072325379)	(115, 0.07233166253811125)	(120, 0.08239727436803257)	(125, 0.09630189295705623)	(130, 0.11224225326449092)	(135, 0.13298922596261836)	(140, 0.14828242146450882)																																						
SRR28515580_2 - polyg	(1, 0.09748312580601078)	(2, 0.10232115396396298)	(3, 0.1024468170330007)	(4, 0.10257248010203841)	(5, 0.10269814317107613)	(6, 0.10279239047285442)	(7, 0.10316937967996757)	(8, 0.10342070581804302)	(9, 0.10376627925789675)	(10, 0.10480928273090981)	(15, 0.10602193134712382)	(20, 0.10701466959252177)	(25, 0.10799484153101602)	(30, 0.10874253679179043)	(35, 0.10971642557683277)	(40, 0.11035102407547323)	(45, 0.11089765842578732)	(50, 0.11163278737965798)	(55, 0.11291455068384271)	(60, 0.11437224228468026)	(65, 0.11546551098530841)	(70, 0.1166341775273592)	(75, 0.11875788339409668)	(80, 0.12168583290267551)	(85, 0.12412997959545917)	(90, 0.1265741262882428)	(95, 0.1297534019348971)	(100, 0.13373063806994093)	(105, 0.1383173400898177)	(110, 0.14430518532946499)	(115, 0.15126691935415465)	(120, 0.16045288970081192)	(125, 0.16999071664077484)	(130, 0.17993694855511033)	(135, 0.19038583274559667)	(140, 0.19707110801840336)																																						
SRR34502717_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 3.573449393524379e-05)	(12, 4.083942164027861e-05)	(14, 6.125913246041792e-05)	(16, 8.167884328055723e-05)	(18, 0.00013783304803594032)	(20, 0.00025524638525174136)	(22, 0.000617696252309214)	(24, 0.0016539965764312838)	(26, 0.00517129176520028)	(28, 0.027587029318008206)	(30, 0.0628978142537341)	(32, 0.11256876082372297)	(34, 0.1739708312598819)	(36, 0.2575844421406473)	(38, 0.4020436863377228)	(40, 0.5498721828201214)	(42, 0.7023359536586915)	(44, 0.8751173367633003)	(46, 1.0448970223773486)	(48, 1.2234112392947114)	(50, 1.3975964775182046)	(52, 1.5629450858842828)	(54, 1.7418728019457532)	(56, 1.9191363115753828)	(58, 2.1051190377252116)	(60, 2.2955379460507155)	(62, 2.477921698168495)	(64, 2.666998010507575)	(66, 2.857105518243072)	(68, 3.049852273602072)	(70, 3.2570970236433707)	(72, 3.4587722975584763)	(74, 3.6664815960209336)	(76, 3.882614025196698)	(78, 4.094090760305471)	(80, 4.320198218216873)	(82, 4.548051561403398)	(84, 4.7801368896573955)	(86, 5.019741776420911)	(88, 5.257616092692418)	(90, 5.505154037109557)	(92, 5.756643195570393)	(94, 6.010945169196702)	(96, 6.275691824907514)	(98, 6.539289871884693)	(100, 6.810392162588272)	(102, 7.087788829152159)	(104, 7.371750432744721)	(106, 7.667826029781331)	(108, 7.966612343429315)	(110, 8.268900637482952)	(112, 8.580107240237286)	(114, 8.899328579488524)	(116, 9.229673556209033)	(118, 9.570779720531753)	(120, 9.911671477890865)	(122, 10.266540527306361)	(124, 10.626004011656388)	(126, 10.996468615210766)	(128, 11.374146481612357)	(130, 11.764525408144074)	(132, 12.16825372062446)	(134, 12.581906012563431)	(136, 13.003772133179805)	(138, 13.437588889553663)
SRR34502717_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 2.0419710820139307e-05)	(4, 0.00010209855410069654)	(5, 0.001858193684632677)	(6, 0.0024401554430066473)	(7, 0.002685191972848319)	(8, 0.0028179200931792246)	(9, 0.002909808791869851)	(10, 0.0032518389481071847)	(12, 0.003634708525984797)	(14, 0.00382869577877612)	(16, 0.0039971583930422695)	(18, 0.004237089995178906)	(20, 0.004451496958790369)	(22, 0.004640379283876658)	(24, 0.004895625669128399)	(26, 0.005196816403725454)	(28, 0.0055694761261929964)	(30, 0.005804302800624599)	(32, 0.006069759041286409)	(34, 0.006299480788012976)	(36, 0.006575146884084857)	(38, 0.006820183413926529)	(40, 0.0070907445822933745)	(42, 0.007570607786566649)	(44, 0.008137254761825514)	(46, 0.008458865207242709)	(48, 0.00896935797774619)	(50, 0.00956152959153023)	(52, 0.010031182940393435)	(54, 0.010551885566306988)	(56, 0.01106237833681047)	(58, 0.011598395745839127)	(60, 0.012139518082572819)	(62, 0.012792948828817275)	(64, 0.013267707105385515)	(66, 0.014064075827370948)	(68, 0.014926808609521834)	(70, 0.015554714717241118)	(72, 0.01624387995742082)	(74, 0.0169738846192408)	(76, 0.017657944931715467)	(78, 0.018484943219931108)	(80, 0.019592712531923663)	(82, 0.020450340386369517)	(84, 0.02110887606031901)	(86, 0.021731677240333258)	(88, 0.02241063262510289)	(90, 0.023334624539714195)	(92, 0.024518967767282275)	(94, 0.027015277415044305)	(96, 0.03446847186439515)	(98, 0.0588087671620012)	(100, 0.0974326501782947)	(102, 0.1511109649967359)	(104, 0.2185062205586057)	(106, 0.3159184510260803)	(108, 0.4624349810882848)	(110, 0.6221936936173498)	(112, 0.7902581235225064)	(114, 0.9820502574006649)	(116, 1.1708253790051477)	(118, 1.3656498399400967)	(120, 1.5593359019968231)	(122, 1.7468807360243925)	(124, 1.9447732585100677)	(126, 2.147198956797814)	(128, 2.3545764349594434)	(130, 2.564970925394749)	(132, 2.7751459039387374)	(134, 2.990645322079078)	(136, 3.209034129300468)	(138, 3.4285817551109004)
SRR34502717_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 3.573449393524379e-05)	(12, 4.594434934531344e-05)	(14, 7.146898787048757e-05)	(16, 0.00010209855410069654)	(18, 0.00015825275885607965)	(20, 0.00029608580689201996)	(22, 0.0007402145172300499)	(24, 0.0019092429616830251)	(26, 0.005906401354725295)	(28, 0.030695930290374415)	(30, 0.06955974490880455)	(32, 0.12382002148561973)	(34, 0.19048527238566954)	(36, 0.281725645257757)	(38, 0.43971294787317483)	(40, 0.6006815282683329)	(42, 0.7670664369585332)	(44, 0.9564337301768)	(46, 1.143304713747305)	(48, 1.339885269812786)	(50, 1.5318611810883258)	(52, 1.7141530445074142)	(54, 1.9126581583176936)	(56, 2.1093152882987503)	(58, 2.3156156267146177)	(60, 2.5288229323153972)	(62, 2.733453959371718)	(64, 2.9465234319244615)	(66, 3.161088648294781)	(68, 3.379053746516653)	(70, 3.6128185959856074)	(72, 3.841468307894117)	(74, 4.077310862939021)	(76, 4.322025782335276)	(78, 4.563182567121121)	(80, 4.820802743755703)	(82, 5.080082021894422)	(84, 5.343720908293241)	(86, 5.615839079610122)	(88, 5.887502912361256)	(90, 6.171306263194962)	(92, 6.460985385817163)	(94, 6.75444215494109)	(96, 7.062024259024849)	(98, 7.369636992674837)	(100, 7.685407400797471)	(102, 8.008921984248644)	(104, 8.340594242172461)	(106, 8.687550653645154)	(108, 9.039040240919917)	(110, 9.395696015032176)	(112, 9.763934870107157)	(114, 10.14259798755582)	(116, 10.534472657905113)	(118, 10.937547539639253)	(120, 11.34163319705899)	(122, 11.76690430445462)	(124, 12.196703482724619)	(126, 12.64057184174969)	(128, 13.095237122870913)	(130, 13.564870052023297)	(132, 14.049669721387339)	(134, 14.547012198122651)	(136, 15.05502397376149)	(138, 15.57490470631453)
SRR34502717_2 - polyg	(1, 0.03506064347817919)	(2, 0.03515253217686982)	(3, 0.03549966726081218)	(4, 0.03554050668245246)	(5, 0.0362347768503372)	(6, 0.03662275135591985)	(7, 0.03682694846412124)	(8, 0.037010725861502496)	(9, 0.0371434539818334)	(10, 0.037562058053646256)	(12, 0.03801129169168932)	(14, 0.03824611836612092)	(16, 0.038496259823667625)	(18, 0.03863409287170357)	(20, 0.038710666787279094)	(22, 0.03888933925695531)	(24, 0.039124165931386914)	(26, 0.0392977334733581)	(28, 0.03946619608762425)	(30, 0.03956829464172494)	(32, 0.03978270160533641)	(34, 0.03994095436419248)	(36, 0.040083892339933466)	(38, 0.040191095821739194)	(40, 0.04033403379748017)	(42, 0.04045655206240101)	(44, 0.040645434387487286)	(46, 0.040824106857163506)	(48, 0.040956834977494416)	(50, 0.04120187150733609)	(52, 0.04144180310947272)	(54, 0.04165621007308419)	(56, 0.04189614167522082)	(58, 0.04202886979555173)	(60, 0.042227961976048084)	(62, 0.042503628072119964)	(64, 0.042774189240486815)	(66, 0.043228527806234915)	(68, 0.043861538841659234)	(70, 0.04717974184993187)	(72, 0.055847909093081)	(74, 0.06849281501845228)	(76, 0.08664083300985108)	(78, 0.11365100549719034)	(80, 0.15965150904725917)	(82, 0.22202351574737467)	(84, 0.29143521775273323)	(86, 0.3798985099532818)	(88, 0.4909408973931993)	(90, 0.6095947320413238)	(92, 0.7341804926826987)	(94, 0.8621712401033319)	(96, 0.9934648757491227)	(98, 1.1302003643284806)	(100, 1.2664100453542197)	(102, 1.4084444488914039)	(104, 1.555211120411155)	(106, 1.711049248462753)	(108, 1.8726508398933355)	(110, 2.037070351417097)	(112, 2.2082589970777353)	(114, 2.3878656685239754)	(116, 2.5713214554598123)	(118, 2.7657630468168835)	(120, 2.9747026328562542)	(122, 3.1885991036972134)	(124, 3.407130848894344)	(126, 3.6333199856490275)	(128, 3.8615664082688395)	(130, 4.104157677739799)	(132, 4.34616188052468)	(134, 4.599652170645889)	(136, 4.858900819218379)	(138, 5.128599254803074)
SRR35497378_1 - illumina_universal_adapter	(1, 0.0005320533406884387)	(2, 0.0007874389442188893)	(3, 0.0014684672203000909)	(4, 0.00208564909549868)	(5, 0.002745395237952344)	(6, 0.0045969408635481105)	(7, 0.0059164331484554385)	(8, 0.008065928644836731)	(9, 0.009513113731509284)	(10, 0.010449527611120935)	(12, 0.011130555887202138)	(14, 0.011566839626566659)	(16, 0.011747737762400727)	(18, 0.01223722683583409)	(20, 0.012982101512797904)	(22, 0.013216204982700819)	(24, 0.013386462051721119)	(26, 0.0136312065884378)	(28, 0.014035567127361013)	(30, 0.014418645532656689)	(32, 0.014940057806531359)	(34, 0.015855189552515473)	(36, 0.016812885565754665)	(38, 0.017951479714827922)	(40, 0.019292254133362788)	(42, 0.021133158692144785)	(44, 0.022761241914651408)	(46, 0.0245702232729921)	(48, 0.027124079308296606)	(50, 0.029614088942718497)	(52, 0.032167944978023)	(54, 0.03483885274827897)	(56, 0.03799924959196829)	(58, 0.041287339237422845)	(60, 0.04480953235278031)	(62, 0.048459418269903)	(64, 0.05169430258128871)	(66, 0.05570598477007953)	(68, 0.0600794632305385)	(70, 0.0646444808936453)	(72, 0.06945424309346879)	(74, 0.07443426236231257)	(76, 0.07948876909885275)	(78, 0.08524558624510165)	(80, 0.09100240339135056)	(82, 0.09683370800529584)	(84, 0.10340988729620496)	(86, 0.1106883769968228)	(88, 0.11802007203150947)	(90, 0.1262243345449252)	(92, 0.13463077732780254)	(94, 0.14378209478764367)	(96, 0.1545082901359226)	(98, 0.16519192121694645)	(100, 0.1755350381599297)	(102, 0.18618674604051225)	(104, 0.19821115154007096)	(106, 0.21094850851615218)	(108, 0.22434561163468708)	(110, 0.23924310517396336)	(112, 0.25468329312074184)	(114, 0.27097476641262186)	(116, 0.28975624933892374)	(118, 0.3102083797549873)	(120, 0.331437308048456)	(122, 0.353666496622419)	(124, 0.3775237684188886)	(126, 0.40439246212365476)	(128, 0.43216564650759126)	(130, 0.46240755839232206)	(132, 0.49416050176460813)	(134, 0.528265120902737)	(136, 0.5660834723588712)	(138, 0.6067536297210956)
SRR35497378_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 1.0641066813768775e-05)	(22, 2.128213362753755e-05)	(24, 4.256426725507509e-05)	(26, 7.448746769638141e-05)	(28, 8.51285345101502e-05)	(30, 8.51285345101502e-05)	(32, 0.0001170517349514565)	(34, 0.00014897493539276285)	(36, 0.0001702570690203004)	(38, 0.00018089813583406917)	(40, 0.00019153920264783795)	(42, 0.00019153920264783795)	(44, 0.00019153920264783795)	(46, 0.00019153920264783795)	(48, 0.00019153920264783795)	(50, 0.00020218026946160672)	(52, 0.0002128213362753755)	(54, 0.00022346240308914427)	(56, 0.0003830784052956759)	(58, 0.0005852586747572826)	(60, 0.0007342336101500454)	(62, 0.0014471850866725534)	(64, 0.002798600572021188)	(66, 0.09586537092524289)	(68, 0.09682306693848208)	(70, 0.0969507597402473)	(72, 0.0975998648158872)	(74, 0.09915346057069743)	(76, 0.10034526005383954)	(78, 0.10140936673521642)	(80, 0.10210103607811138)	(82, 0.10261180728517229)	(84, 0.10294168035639913)	(86, 0.10329283556125349)	(88, 0.10350565689752887)	(90, 0.10354822116478395)	(92, 0.10378232463468685)	(94, 0.10396322277052092)	(96, 0.10409091557228616)	(98, 0.10423989050767891)	(100, 0.10445271184395429)	(102, 0.10463360997978835)	(104, 0.10494220091738765)	(106, 0.10549553639170363)	(108, 0.10588925586381308)	(110, 0.10635746280361891)	(112, 0.10678310547616965)	(114, 0.10732579988367186)	(116, 0.10784721215754653)	(118, 0.10828349589691105)	(120, 0.10856016363406903)	(122, 0.10895388310617848)	(124, 0.1093263204446604)	(126, 0.10979452738446621)	(128, 0.11010311832206551)	(130, 0.11063517166275394)	(132, 0.11083735193221556)	(134, 0.11124171247113876)	(136, 0.1116035087428069)	(138, 0.11206107461579896)
SRR35497378_2 - illumina_universal_adapter	(1, 0.0022559061645189803)	(2, 0.002787959505207419)	(3, 0.0036818091175639957)	(4, 0.004447965928155348)	(5, 0.005214122738746699)	(6, 0.007427464636010604)	(7, 0.008981060390820845)	(8, 0.011343377223477514)	(9, 0.013237487116328356)	(10, 0.01449313300035307)	(12, 0.015621086082612562)	(14, 0.016440448227272756)	(16, 0.017057630102471348)	(18, 0.018004685048896768)	(20, 0.01948379333601063)	(22, 0.020601105351456348)	(24, 0.021729058433715837)	(26, 0.023048550718623165)	(28, 0.024953301678287777)	(30, 0.026645231301677008)	(32, 0.028518059060900314)	(34, 0.030859093759929443)	(36, 0.03299794818949697)	(38, 0.035296418621271024)	(40, 0.03799924959196829)	(42, 0.04104259470070616)	(44, 0.043915682740423734)	(46, 0.047161208118623205)	(48, 0.051002633238393734)	(50, 0.05467380128914396)	(52, 0.05838753360714927)	(54, 0.0625694728649604)	(56, 0.06694295132541936)	(58, 0.07164630285710516)	(60, 0.07639221865604603)	(62, 0.08110621125454559)	(64, 0.08523494517828789)	(66, 0.09000214311085629)	(68, 0.09550357465357474)	(70, 0.10109013473080336)	(72, 0.10690015721112112)	(74, 0.1131038991635483)	(76, 0.11961623205357479)	(78, 0.12676702895242742)	(80, 0.1337475687822597)	(82, 0.14050464620900288)	(84, 0.14805980364677873)	(86, 0.15649816963009738)	(88, 0.164798201744837)	(90, 0.17390695493742309)	(92, 0.18309019559770554)	(94, 0.1930821573358344)	(96, 0.205021434300883)	(98, 0.21665212032833225)	(100, 0.2275379316788177)	(102, 0.2390622070381293)	(104, 0.2521720013526924)	(106, 0.2657500026070614)	(108, 0.27978556973442237)	(110, 0.29555563075242774)	(112, 0.31170877017572873)	(114, 0.32883024667908267)	(116, 0.348420450683231)	(118, 0.3694471987072381)	(120, 0.39176151581571117)	(122, 0.4149803236033547)	(124, 0.43942285407458154)	(126, 0.4668874475209187)	(128, 0.4953203780473089)	(130, 0.5258176755355701)	(132, 0.5575386957074149)	(134, 0.5920157521840257)	(136, 0.6306321836511927)	(138, 0.671759906886409)
